Index,R0_C0,R0_C1,R0_C2,R0_C3,R0_C4,R0_C5,R1_C0,R1_C1,R1_C2,R1_C3,R1_C4,R1_C5,R2_C0,R2_C1,R2_C2,R2_C3,R2_C4,R2_C5,R3_C0,R3_C1,R3_C2,R3_C3,R3_C4,R3_C5,R4_C0,R4_C1,R4_C2,R4_C3,R4_C4,R4_C5,R5_C0,R5_C1,R5_C2,R5_C3,R5_C4,R5_C5,VGND
0,-6,3,3,1,-7,4,-7,2,2,-2,-7,4,-7,2,2,0,-9,3,-5,-24,2,-3,-6,5,-7,3,2,-2,-6,5,-4,6,-1,0,-6,3,-2
1,-6,3,0,0,-6,1,-6,4,3,0,-6,5,-6,3,1,-2,-6,4,-5,-23,3,1,-6,5,-7,3,3,0,-7,4,-6,3,2,-2,-8,3,-4
2,-7,2,3,0,-8,2,-9,5,1,-2,-8,4,-5,5,2,-1,-6,4,-6,-24,3,0,-6,2,-5,2,3,0,-8,5,-8,3,3,-1,-7,4,-2
3,-6,5,0,-2,-8,4,-6,4,1,-2,-4,3,-7,3,0,-2,-6,3,-5,-24,2,-2,-6,4,-6,3,2,1,-8,1,-8,4,1,2,-6,4,-2
4,-5,5,3,0,-6,4,-8,2,2,1,-5,4,-8,2,1,-1,-7,4,-5,-24,3,-1,-6,2,-6,2,-1,-2,-6,3,-6,4,2,0,-9,4,-1
5,-6,2,0,-2,-5,5,-6,2,2,-2,-6,4,-5,4,0,0,-6,4,-6,-24,1,0,-6,6,-6,3,3,0,-9,3,-8,3,2,1,-6,2,-4
6,-7,3,3,-1,-9,4,-7,3,-1,-1,-6,2,-6,2,2,0,-6,4,-6,-24,2,0,-7,5,-7,3,3,0,-6,4,-4,3,3,1,-7,6,-2
7,-5,4,1,-1,-6,3,-7,3,2,1,-5,4,-7,3,1,-2,-7,2,-5,-25,3,2,-7,6,-7,2,2,-3,-6,2,-8,2,1,-1,-9,3,-1
8,-9,2,0,0,-8,-1,-6,2,3,0,-6,4,-7,5,2,-2,-6,3,-5,-24,0,-2,-7,1,-6,5,2,1,-7,6,-6,2,1,-2,-8,4,-1
9,-5,3,1,0,-7,4,-5,2,2,-4,-6,3,-7,2,-1,-1,-7,4,-7,-25,0,-2,-6,4,-7,3,0,-2,-8,4,-6,3,3,-1,-6,5,-2
10,-5,2,0,-2,-8,1,-6,3,0,0,-6,4,-6,3,2,1,-6,4,-5,-23,2,-1,-6,4,-6,2,2,0,-6,4,-7,4,0,-2,-8,3,-1
11,-6,3,3,-2,-9,2,-6,3,0,-3,-6,4,-7,5,2,-2,-5,5,-7,-27,2,-3,-6,3,-8,3,0,-3,-6,2,-6,4,0,-2,-6,5,0
12,-5,3,0,-2,-6,3,-7,4,3,-2,-6,3,-7,2,1,0,-7,1,-5,-23,3,0,-6,6,-7,3,0,-2,-8,3,-9,4,1,0,-5,4,-1
13,-7,3,1,-3,-7,4,-6,1,1,-2,-6,4,-5,4,3,-3,-6,5,-6,-24,3,-2,-6,4,-5,3,2,-2,-6,5,-5,3,-1,-1,-7,4,-2
