Index,R0_C0,R0_C1,R0_C2,R0_C3,R0_C4,R0_C5,R1_C0,R1_C1,R1_C2,R1_C3,R1_C4,R1_C5,R2_C0,R2_C1,R2_C2,R2_C3,R2_C4,R2_C5,R3_C0,R3_C1,R3_C2,R3_C3,R3_C4,R3_C5,R4_C0,R4_C1,R4_C2,R4_C3,R4_C4,R4_C5,R5_C0,R5_C1,R5_C2,R5_C3,R5_C4,R5_C5,VGND
0,-5,4,3,-2,-4,3,-7,2,3,-1,-6,3,-7,4,0,0,-6,3,-6,-18,1,1,-6,1,-8,3,0,0,-8,2,-7,2,1,0,-6,4,-1
1,-7,3,-2,-1,-9,4,-5,4,2,0,-4,4,-7,3,2,-2,-6,4,-7,-20,0,-3,-7,3,-5,4,0,-2,-7,4,-7,3,2,-1,-8,6,-2
2,-7,3,2,1,-6,5,-9,3,0,0,-6,1,-6,3,0,-2,-7,3,-5,-18,0,-2,-7,4,-7,2,0,-2,-6,3,-9,4,0,-1,-6,4,1
3,-7,4,1,-1,-5,1,-7,3,3,0,-7,4,-7,3,0,0,-7,4,-5,-21,0,-2,-7,4,-4,3,3,0,-6,3,-7,4,2,0,-6,4,-1
4,-7,3,2,-1,-9,1,-5,3,2,-2,-6,1,-7,6,2,0,-6,1,-6,-21,-2,0,-6,2,-8,4,0,1,-8,1,-5,3,3,-4,-6,4,-1
5,-5,2,2,-1,-6,5,-7,3,3,3,-6,3,-6,3,2,-2,-7,4,-5,-18,0,1,-6,4,-7,2,1,-1,-5,3,-7,1,1,0,-9,4,-1
6,-7,3,0,1,-6,4,-5,3,1,1,-6,4,-7,5,3,-2,-6,4,-7,-21,2,0,-6,4,-6,3,3,0,-6,3,-7,3,0,-1,-7,3,0
7,-8,3,3,-2,-7,4,-6,6,1,0,-6,2,-6,3,3,-2,-7,3,-7,-21,3,-1,-5,4,-7,3,0,-1,-7,4,-6,3,3,-1,-7,5,0
8,-7,3,3,0,-6,5,-7,1,1,-2,-8,4,-7,5,1,-2,-6,4,-6,-19,1,2,-6,5,-7,1,3,-1,-5,1,-8,3,2,-1,-6,2,-2
9,-5,3,1,-3,-6,4,-6,5,0,-2,-6,4,-7,1,0,0,-8,4,-7,-19,0,-1,-7,4,-7,3,0,-2,-6,3,-7,6,2,-1,-6,7,1
10,-6,0,0,-2,-9,4,-7,5,0,0,-6,7,-6,4,3,-2,-6,4,-7,-21,0,-1,-7,4,-7,1,0,-2,-6,1,-3,3,1,-2,-6,3,0
11,-2,4,2,-2,-6,1,-6,3,1,0,-7,2,-7,1,0,-2,-4,4,-6,-19,1,-1,-7,4,-6,3,2,1,-5,6,-7,1,3,-1,-9,3,-1
12,-6,1,0,-2,-5,3,-5,4,3,1,-8,3,-4,3,2,0,-6,7,-6,-23,0,-2,-8,3,-7,1,2,-2,-6,3,-7,2,3,1,-5,2,-2
13,-6,3,2,0,-6,2,-5,3,1,2,-6,4,-7,1,1,-1,-6,4,-7,-17,1,-3,-6,4,-4,4,0,0,-6,4,-5,0,2,2,-8,2,-3
14,-7,1,0,-2,-5,4,-7,3,2,0,-6,4,-6,2,2,0,-6,4,-6,-21,1,-1,-6,3,-8,2,1,-3,-6,4,-7,3,2,1,-6,5,-2
15,-7,3,3,0,-6,4,-7,3,1,-2,-6,2,-10,3,0,-2,-7,3,-5,-20,0,-2,-5,4,-5,5,0,0,-7,4,-7,3,0,-1,-5,4,-3
