Index,R0_C0,R0_C1,R0_C2,R0_C3,R0_C4,R0_C5,R1_C0,R1_C1,R1_C2,R1_C3,R1_C4,R1_C5,R2_C0,R2_C1,R2_C2,R2_C3,R2_C4,R2_C5,R3_C0,R3_C1,R3_C2,R3_C3,R3_C4,R3_C5,R4_C0,R4_C1,R4_C2,R4_C3,R4_C4,R4_C5,R5_C0,R5_C1,R5_C2,R5_C3,R5_C4,R5_C5,VGND
0,-6,4,4,1,-6,6,-7,5,2,-1,-8,2,-7,3,0,0,-6,1,-4,-29,3,1,-7,3,-6,3,0,-2,-7,4,-8,2,1,-2,-7,6,0
1,-7,4,1,-1,-7,4,-5,1,1,-1,-6,3,-6,5,1,0,-6,4,-5,-27,2,-1,-7,3,-6,2,3,0,-6,4,-5,3,4,0,-4,3,1
2,-5,5,3,-2,-6,3,-8,3,1,-2,-7,1,-7,2,0,-1,-9,1,-8,-29,0,-2,-5,2,-7,3,0,0,-8,4,-6,3,1,-2,-6,4,-2
3,-6,3,0,2,-8,3,-4,3,0,-4,-5,7,-7,4,0,1,-5,3,-4,-25,1,0,-7,4,-7,3,1,-2,-8,5,-7,2,3,-1,-7,3,1
4,-3,6,1,0,-6,4,-6,2,2,0,-7,4,-5,4,1,-2,-9,6,-7,-26,1,-1,-8,4,-9,3,-1,-1,-7,4,-5,2,2,-1,-8,2,-2
5,-6,3,2,0,-6,1,-7,3,3,0,-6,2,-7,3,-1,0,-9,6,-6,-25,2,-2,-7,2,-6,3,3,2,-6,3,-8,6,0,-2,-4,4,-1
6,-7,2,0,-2,-9,4,-5,2,1,1,-4,6,-5,3,1,-1,-6,4,-5,-27,0,1,-5,4,-5,2,0,0,-9,4,-7,4,3,0,-7,3,-1
7,-5,4,1,1,-8,2,-7,5,1,-2,-6,5,-6,4,3,-1,-8,4,-7,-26,2,1,-6,2,-7,4,3,-1,-6,4,-5,3,3,-1,-6,3,1
8,-8,3,1,-2,-6,3,-6,3,0,-2,-6,5,-5,2,2,-2,-8,2,-6,-29,1,-2,-7,4,-6,4,1,-1,-7,4,-8,5,2,2,-8,1,-2
9,-7,3,2,-2,-6,4,-6,5,1,-2,-5,4,-5,4,0,0,-6,6,-6,-28,3,-2,-5,4,-8,5,3,0,-7,4,-8,3,4,-2,-9,5,0
