Index,R0_C0,R0_C1,R0_C2,R0_C3,R0_C4,R0_C5,R1_C0,R1_C1,R1_C2,R1_C3,R1_C4,R1_C5,R2_C0,R2_C1,R2_C2,R2_C3,R2_C4,R2_C5,R3_C0,R3_C1,R3_C2,R3_C3,R3_C4,R3_C5,R4_C0,R4_C1,R4_C2,R4_C3,R4_C4,R4_C5,R5_C0,R5_C1,R5_C2,R5_C3,R5_C4,R5_C5,VGND
0,-7,8,0,3,-2,2,-6,6,3,4,-1,1,-5,7,3,3,-3,2,-5,9,3,3,-2,1,-6,6,0,2,-1,1,-4,6,3,3,-1,4,0
1,-5,6,1,3,-1,1,-5,9,2,1,0,2,-5,8,0,3,0,1,-7,8,1,4,-4,3,-5,8,4,3,0,3,-5,6,0,4,0,1,-2
2,-6,7,2,1,-2,3,-5,6,0,1,-3,4,-7,9,3,3,0,3,-4,9,1,3,-2,3,-5,8,2,4,0,2,-4,7,3,3,-1,0,-1
3,-3,7,3,4,-2,3,-5,8,2,2,-2,4,-4,8,3,2,-3,4,-3,7,0,4,0,4,-6,10,3,3,-1,3,-6,7,1,3,-3,3,-4
4,-4,7,3,4,0,2,-5,9,0,3,0,0,-6,7,2,4,-2,4,-5,5,3,4,-1,2,-6,8,1,3,0,4,-4,9,3,2,-2,4,-2
5,-4,7,3,1,0,1,-7,8,1,4,-5,1,-5,9,1,2,-2,2,-5,9,2,3,-1,3,-5,7,2,4,-2,4,-5,7,2,2,-2,1,-1
6,-6,6,0,3,0,2,-3,8,3,4,-2,3,-4,7,3,4,0,4,-5,8,2,2,-1,4,-3,8,3,4,-3,5,-3,8,3,4,0,2,1
7,-7,9,2,1,0,4,-7,6,4,4,-3,2,-4,8,0,2,-2,4,-3,7,2,4,-2,4,-5,6,4,2,-1,0,-6,6,3,2,-3,4,-1
8,-7,8,1,4,-2,3,-6,7,2,4,-2,1,-3,7,1,4,-2,4,-7,9,3,3,-3,4,-6,6,3,2,0,1,-5,7,3,2,-1,1,-2
9,-3,6,3,3,0,1,-5,9,3,4,-2,3,-5,8,2,3,0,1,-4,7,0,3,-3,3,-5,7,3,4,0,2,-5,6,2,4,0,3,-2
10,-5,6,4,3,-1,3,-5,7,3,2,-4,4,-6,8,2,1,0,4,-6,7,3,2,-3,1,-5,8,1,3,-1,1,-5,7,2,4,0,2,0
11,-5,6,3,3,-1,2,-4,8,0,1,-1,2,-4,8,2,1,0,4,-7,9,0,4,-2,1,-6,6,2,4,-2,2,-6,6,2,3,-2,3,1
12,-6,9,0,3,-1,3,-5,6,3,2,-3,4,-5,6,3,5,-2,1,-5,6,2,3,-2,2,-4,8,2,2,-1,3,-5,7,1,4,0,1,-1
13,-4,6,1,3,0,3,-6,6,2,2,-1,1,-5,9,1,4,0,1,-6,7,0,3,-1,3,-4,8,3,2,-3,2,-4,5,1,4,-1,1,-2
14,-5,6,3,4,-2,2,-4,6,3,1,-1,1,-3,8,3,2,-2,2,-7,6,2,1,1,1,-5,8,2,1,0,2,-4,10,1,4,1,1,-2
15,-5,9,3,4,-2,3,-5,7,1,3,-3,4,-4,6,3,1,-2,1,-5,6,3,2,0,2,-4,9,-1,2,-2,1,-5,9,3,4,-3,4,-2
16,-7,6,1,2,-1,3,-5,8,1,4,-1,2,-5,9,1,4,-1,4,-5,9,0,4,-1,1,-4,6,3,0,1,1,-5,7,2,3,0,2,-1
17,-3,7,3,4,-3,1,-6,7,2,4,-1,4,-4,6,2,2,-1,3,-4,6,0,2,-1,3,-4,7,3,2,-1,1,-5,6,2,2,-1,3,-1
18,-5,9,3,2,1,2,-6,8,2,2,-1,4,-3,7,3,4,-3,1,-7,9,3,2,0,2,-4,9,1,2,-1,2,-6,6,2,3,-1,1,-1
19,-5,8,2,2,-3,2,-4,8,1,4,-3,2,-5,6,1,4,-1,3,-6,6,0,3,-2,2,-4,5,0,4,0,4,-7,8,3,3,0,4,1
20,-5,7,4,3,-3,4,-5,6,3,4,0,3,-5,8,3,4,-2,2,-3,9,-1,4,-3,2,-5,8,2,4,0,3,-6,8,3,3,-1,1,0
21,-5,8,1,3,-3,1,-5,9,0,3,-3,1,-7,7,2,2,-3,3,-6,7,1,2,-1,1,-5,9,3,3,-1,4,-3,5,0,3,0,3,0
22,-5,9,2,2,0,1,-4,9,2,4,-1,3,-5,8,1,5,-2,3,-5,9,3,2,0,0,-7,8,1,1,-3,1,-5,6,5,3,-3,2,-1
23,-5,9,1,4,-4,1,-5,8,-1,4,-1,2,-5,6,2,2,-1,2,-5,6,1,4,-3,1,-7,7,3,4,0,3,-6,6,3,5,-2,4,-1
24,-7,9,0,1,-1,2,-7,8,1,4,-2,2,-6,9,1,4,0,3,-8,7,1,4,-1,1,-6,9,3,2,-3,1,-4,7,2,1,-3,4,-1
25,-5,8,3,2,0,3,-5,7,0,4,-1,2,-2,9,2,1,0,2,-4,9,3,4,0,1,-4,8,1,4,0,1,-5,6,4,1,-1,1,-1
26,-5,8,1,4,-2,2,-6,7,1,4,0,1,-4,9,3,2,-3,2,-8,9,2,3,0,2,-5,9,3,2,-4,5,-3,8,3,3,0,0,0
27,-5,6,3,4,0,4,-5,6,1,2,-2,4,-5,8,2,1,-3,1,-5,8,1,3,-2,1,-5,9,3,2,-3,3,-3,8,1,4,-2,2,-2
28,-5,6,3,4,-3,4,-5,9,3,1,-2,1,-5,8,3,4,0,2,-5,7,1,2,-2,3,-5,5,0,3,1,2,-6,9,0,4,-2,4,-1
29,-5,7,4,4,0,2,-5,7,3,2,-1,2,-7,6,3,2,-3,4,-5,6,0,3,-1,4,-5,8,2,2,0,4,-5,6,1,4,-2,1,-2
30,-9,8,0,4,0,4,-5,7,2,4,-1,4,-6,8,2,4,-2,3,-3,6,0,3,-2,1,-7,6,3,1,0,-1,-5,7,3,2,-3,4,-4
31,-5,8,3,5,-2,4,-5,9,3,6,-2,2,-6,7,3,2,0,3,-7,8,1,4,0,1,-5,9,2,4,-1,4,-5,8,3,4,-1,3,-2
32,-6,6,2,4,-3,2,-6,9,0,2,-3,5,-5,7,4,2,0,4,-7,6,1,3,-1,1,-5,9,2,4,1,1,-5,8,1,5,-2,4,-1
33,-5,7,2,3,-1,2,-6,8,4,4,0,1,-3,8,1,4,0,3,-4,7,3,4,-1,3,-5,6,3,2,-1,4,-3,7,1,4,0,3,-1
34,-6,6,2,4,0,3,-4,6,3,1,-1,2,-6,8,1,3,-2,2,-5,5,3,1,0,2,-6,7,2,4,-2,2,-7,8,2,3,0,3,-2
35,-7,8,2,4,-2,2,-3,8,0,1,1,2,-5,9,1,4,-2,2,-6,9,3,1,-1,3,-5,8,0,3,-3,1,-5,6,0,2,-2,2,0
36,-5,9,1,4,0,4,-5,7,2,4,-1,2,-6,8,3,4,-2,1,-7,7,2,2,-1,1,-5,6,0,3,0,2,-5,6,3,5,-1,1,-1
37,-5,8,2,3,-1,1,-3,9,3,2,-2,1,-5,6,3,4,0,0,-4,8,2,4,-2,1,-5,9,0,4,0,4,-5,6,3,3,-4,1,-2
38,-6,8,2,2,0,2,-7,6,2,3,-1,2,-4,7,2,3,-3,1,-5,8,0,2,-2,3,-5,7,0,5,-2,1,-5,9,1,4,-3,4,-1
39,-5,7,4,4,-1,2,-2,8,1,2,0,3,-4,6,3,3,-4,1,-5,6,2,2,-1,2,-5,7,3,4,0,4,-5,7,2,3,-3,2,1
40,-5,7,3,3,-1,2,-5,8,1,4,0,1,-3,9,1,4,-1,2,-6,7,6,4,-2,3,-5,8,5,1,0,1,-5,6,5,3,0,4,-2
41,-3,7,1,3,0,0,-6,6,2,4,-3,3,-7,9,2,4,-2,1,-3,8,3,4,-2,1,-3,9,2,3,0,2,-5,8,0,6,-2,3,-2
42,-3,7,1,3,0,2,-5,8,1,1,0,1,-5,6,2,2,-2,3,-4,9,2,3,-1,2,-3,8,1,2,0,1,-5,6,3,4,-3,3,0
43,-5,9,3,5,3,2,-4,8,2,3,-1,4,-7,6,3,2,-1,2,-5,7,3,1,-1,1,-4,9,2,4,0,3,-5,7,3,3,-2,1,-1
44,-4,8,0,5,-1,4,-5,8,1,4,-2,3,-3,7,4,3,0,2,-4,7,3,1,0,3,-4,6,2,2,0,2,-6,7,2,2,-1,0,1
45,-5,6,5,4,0,2,-5,6,3,4,-1,2,-2,8,0,2,1,1,-3,7,3,3,1,1,-4,9,2,5,-2,1,-6,8,0,4,0,2,0
46,-5,6,1,3,-1,3,-5,5,0,4,0,4,-3,9,4,3,-2,2,-5,8,3,2,-1,4,-2,6,3,3,0,1,-6,8,3,4,0,3,-1
47,-5,8,3,2,1,3,-6,7,3,4,-1,3,-6,7,3,6,0,3,-5,6,2,3,0,1,-5,6,2,1,0,1,-5,6,4,4,-1,2,-2
48,-5,8,2,6,0,3,-6,6,3,4,-1,2,-5,7,3,3,0,4,-5,6,0,5,-1,1,-5,8,2,4,-3,1,-4,8,2,4,0,5,-1
49,-5,7,2,3,-1,1,-5,6,1,4,0,4,-6,9,3,2,-2,4,-4,8,1,4,-1,3,-7,8,1,6,-2,1,-4,6,2,2,-1,1,-1
50,-5,7,3,2,-3,1,-5,8,3,2,-2,4,-5,9,3,2,0,3,-5,8,3,4,0,2,-5,9,1,4,0,2,-5,7,1,1,-1,4,-1
51,-5,7,2,3,-3,2,-7,8,0,1,-2,4,-3,6,2,4,-3,5,-4,9,3,4,0,2,-5,8,2,2,-1,2,-7,8,3,4,-1,2,-2
52,-3,6,2,2,0,3,-4,9,2,3,-1,4,-7,7,3,4,-2,1,-5,8,1,1,0,2,-5,7,2,3,0,1,-4,5,1,1,1,4,-1
53,-5,6,4,4,-2,1,-3,8,3,4,0,1,-5,7,1,2,-1,4,-3,9,3,1,0,2,-6,6,0,4,-3,1,-6,9,3,1,-2,4,-1
54,-5,6,2,3,-1,2,-4,6,1,2,-3,5,-6,7,1,4,-1,0,-5,6,2,3,-2,4,-5,9,1,2,-3,2,-3,6,0,4,-2,4,-2
55,-4,6,1,2,-2,5,-6,8,3,3,0,3,-6,7,1,5,-2,1,-5,6,3,4,0,2,-7,6,0,4,-1,1,-4,7,3,4,-1,2,1
56,-4,7,0,3,0,3,-6,6,3,4,-1,1,-5,8,1,3,1,3,-3,7,2,4,-3,2,-6,6,-1,1,-2,1,-6,6,3,2,0,0,-2
57,-3,6,3,2,-3,4,-5,7,2,5,-1,1,-4,8,3,4,-1,2,-5,7,1,2,-2,5,-5,9,3,3,-2,1,-6,6,3,2,-2,3,-3
58,-4,6,3,2,-3,4,-6,7,3,1,-2,6,-4,7,3,2,-3,4,-7,8,1,3,-1,4,-3,6,3,3,0,3,-5,7,3,4,0,3,-1
59,-5,9,2,4,0,1,-6,8,3,1,-2,4,-5,7,3,3,-1,4,-7,6,3,4,-3,3,-5,7,2,2,-1,2,-4,6,3,3,-2,4,-2
60,-6,7,1,3,-1,0,-1,9,0,4,-3,1,-5,10,2,4,-1,4,-6,6,2,1,-2,1,-4,6,2,1,-1,2,-3,9,0,2,0,3,-3
61,-5,8,3,2,0,3,-5,7,3,3,-3,4,-5,8,1,4,-2,3,-5,9,2,4,-1,3,-4,8,2,4,0,2,-5,8,3,3,0,4,-2
62,-6,9,2,2,0,2,-5,8,0,3,-1,2,-5,7,2,4,-3,4,-5,7,2,1,1,1,-4,7,0,3,-2,2,-6,7,0,2,0,1,-1
63,-6,6,0,2,-1,1,-6,6,1,4,-1,1,-7,9,4,4,-2,4,-4,8,1,3,-3,1,-5,5,2,2,-1,4,-4,7,2,3,-2,1,-1
64,-7,7,2,2,0,3,-4,7,2,2,1,1,-6,8,0,4,-2,3,-5,7,1,3,-3,3,-4,6,2,5,-3,4,-7,5,4,2,-2,1,1
65,-5,6,1,4,-2,3,-6,8,3,4,0,0,-6,6,1,4,-2,3,-5,7,2,4,-2,2,-4,9,1,4,0,2,-6,7,3,4,3,2,-4
66,-5,7,0,3,-2,3,-2,7,3,2,0,2,-6,8,3,3,-2,0,-7,8,0,3,0,2,-5,9,2,4,-1,4,-4,8,1,2,0,3,-1
67,-7,5,3,4,-4,4,-5,9,3,4,0,4,-5,8,3,4,0,1,-6,8,0,2,-3,1,-6,7,4,3,-2,1,-5,9,0,4,-2,4,1
68,-5,6,3,4,-1,4,-4,7,0,5,-1,0,-3,8,1,3,-1,4,-6,7,2,3,-3,2,-3,8,3,4,0,3,-4,6,2,4,0,1,0
