Index,R0_C0,R0_C1,R0_C2,R0_C3,R0_C4,R0_C5,R1_C0,R1_C1,R1_C2,R1_C3,R1_C4,R1_C5,R2_C0,R2_C1,R2_C2,R2_C3,R2_C4,R2_C5,R3_C0,R3_C1,R3_C2,R3_C3,R3_C4,R3_C5,R4_C0,R4_C1,R4_C2,R4_C3,R4_C4,R4_C5,R5_C0,R5_C1,R5_C2,R5_C3,R5_C4,R5_C5,VGND
0,-5,3,3,1,-6,4,-7,2,2,-3,-5,4,-5,0,0,-2,-7,4,-5,-25,2,-2,-6,2,-7,1,2,-2,-4,3,-7,4,3,1,-9,4,-3
1,-5,3,2,0,-6,3,-5,2,1,1,-6,4,-8,4,0,1,-7,3,-7,-25,1,-1,-6,4,-7,3,1,-2,-8,4,-5,3,0,0,-7,4,0
2,-7,4,1,-2,-6,4,-7,3,3,1,-8,2,-5,3,1,-1,-6,3,-6,-25,0,-2,-8,4,-5,4,1,0,-6,3,-7,3,0,-1,-6,4,-1
3,-6,4,0,1,-6,4,-9,4,1,0,-9,4,-5,6,2,0,-6,5,-6,-27,1,1,-3,4,-5,3,0,-2,-8,4,-5,4,2,-2,-7,4,-1
4,-7,3,3,1,-6,5,-5,3,3,-2,-6,4,-5,3,3,-2,-7,4,-6,-24,3,-2,-6,4,-6,1,2,-2,-5,5,-7,3,0,-2,-7,6,-1
5,-7,3,2,-1,-7,3,-8,4,2,1,-7,4,-7,1,2,-1,-6,1,-6,-26,2,0,-5,5,-7,5,3,-1,-7,3,-7,3,2,-1,-6,3,0
6,-7,0,3,0,-6,4,-7,6,1,-2,-6,2,-4,6,2,-1,-6,3,-6,-26,3,-1,-7,1,-9,3,1,-1,-7,3,-5,3,1,1,-8,4,-1
7,-8,4,1,-1,-7,3,-6,3,3,-1,-5,4,-6,2,2,0,-6,2,-6,-27,-2,0,-7,4,-5,4,0,1,-5,1,-7,3,0,1,-7,3,-1
8,-6,2,2,-2,-7,3,-5,1,1,-1,-7,4,-6,2,2,-2,-6,2,-7,-26,0,-2,-8,3,-9,3,-1,-1,-7,4,-7,3,3,0,-6,2,-2
9,-5,3,3,-3,-6,2,-6,3,2,1,-8,6,-6,3,1,-2,-7,5,-5,-27,1,-2,-6,4,-8,2,2,1,-7,4,-6,3,0,0,-6,3,-2
10,-7,4,2,1,-6,3,-6,2,2,-1,-6,2,-8,2,-2,1,-9,4,-7,-27,2,-2,-7,1,-5,4,0,0,-8,2,-7,3,2,0,-7,4,-2
11,-5,4,1,-2,-8,4,-7,1,2,0,-8,4,-5,3,3,-1,-7,3,-6,-27,0,0,-6,4,-5,3,0,0,-6,5,-5,3,2,-1,-6,4,-1
12,-7,3,2,-2,-4,3,-6,2,2,0,-6,2,-5,3,2,-2,-6,5,-6,-26,0,0,-5,5,-7,4,3,0,-9,4,-7,0,1,-1,-7,4,0
13,-5,2,2,-2,-8,4,-6,3,0,-2,-5,3,-7,3,2,0,-7,4,-5,-24,2,-1,-9,4,-6,3,4,0,-4,4,-5,4,2,-2,-7,6,0
14,-6,5,0,-1,-8,4,-7,4,0,1,-6,1,-5,3,1,-2,-6,4,-5,-27,2,-2,-6,3,-7,1,0,1,-7,2,-5,2,1,1,-6,3,-1
15,-7,3,-1,0,-7,4,-7,3,0,-2,-8,5,-7,3,2,1,-6,5,-7,-26,2,1,-8,6,-7,3,4,0,-6,4,-6,4,2,-1,-6,3,-1
16,-8,3,0,0,-5,2,-7,4,1,1,-9,5,-5,6,1,1,-6,3,-6,-24,2,-2,-7,4,-6,3,2,-1,-6,4,-5,4,1,-1,-5,1,-1
17,-7,3,2,0,-6,3,-7,3,0,-1,-6,1,-7,4,3,-1,-6,1,-5,-27,1,1,-6,0,-7,2,0,-1,-6,4,-6,4,1,-1,-4,3,-1
